Situation,The year on what left University,The year on what entered the University,Institution Studied in High School,Type of Institution Studied in High School,City that lived before,Moved to the city of the institution,Lived in the Academic Village,Monthly Income,Belongs to which breed,Obtained Bag During The Course,Academic Performance Index,Had Institutional Support,Disciplines Grid,Requirements to study Subjects,Forms of Evaluation,Institution Infrastructure,Teachers Quality ,Remuneration of the Professionals,Relationship from parents,Father Education Degree,Mother's Education Degree
1,0,1,1,2,2,1,1,0,1,1,2,1,1,1,1,1,0,1,1,0,0
1,2,3,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0
0,3,6,0,0,0,1,1,2,0,1,0,0,0,0,0,1,1,0,0,2,2
1,1,1,1,2,0,0,1,1,1,1,2,1,1,1,1,1,0,1,1,0,1
1,2,3,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,0,0
0,1,4,0,1,0,1,1,3,0,0,1,0,0,0,0,0,1,0,0,2,2
1,0,0,1,2,2,1,1,0,2,1,2,1,1,1,1,1,0,1,1,0,1
1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,0,0
0,0,3,0,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,2,2
1,2,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
1,1,1,1,2,2,0,0,1,1,1,2,1,1,1,1,1,0,1,1,1,1
0,2,6,0,1,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,2,2
1,4,5,1,2,2,1,1,0,1,1,3,1,1,1,1,1,0,1,1,0,0
0,1,3,0,1,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,2,2
1,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,0,0,1,1,1,1
0,0,3,1,1,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,2,2
1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
0,1,4,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,2,2
1,4,5,1,2,0,1,1,1,1,1,2,1,1,1,1,1,0,1,1,0,1
0,0,4,1,1,0,1,1,3,0,1,0,0,0,0,0,0,1,0,0,2,2
1,5,5,1,2,2,1,1,0,1,1,3,1,1,1,1,1,0,1,1,0,0
1,0,1,1,2,2,1,0,1,1,1,2,1,1,1,1,1,0,1,1,1,1
1,4,4,1,2,0,1,1,2,2,1,2,1,1,1,1,1,0,1,1,1,1
1,1,3,1,2,1,0,0,1,1,1,2,1,1,1,1,1,0,1,1,0,1
0,0,2,0,1,2,0,0,3,0,0,0,0,0,0,0,1,1,0,0,2,2
1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1
1,5,5,1,2,2,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
1,4,5,1,1,2,1,1,1,2,1,2,1,1,1,1,1,0,1,0,1,1
0,1,3,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,2
0,1,4,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,2,2
0,5,6,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,2
1,0,2,1,1,1,0,0,1,1,1,2,1,1,1,1,1,0,1,1,0,0
